1527604198201422691,ARKW,B,200,52.7500
1527604200879570856,ARKW,B,200,0
1527604196951620214,ARKW,S,500,52.0000
1527604199451225168,ARKW,S,500,53.25
1527604197487249847,ARKW,B,200,52.00
1527604200165398012,ARKW,S,200,54.0000
1527604198737052324,ARKW,B,1000,53.2500
1527604201236657278,ARKW,S,300,0
1527604197844336269,ARKW,S,500,52.75
1527604199808311590,ARKW,B,500,54.00
1527604197130163425,ARKW,S,200,52.00
1527604200522484434,ARKW,B,200,55.50
1527604198915595535,ARKW,B,900,53.25
1527604198379965902,ARKW,B,200,52.75
1527604201058114067,ARKW,B,200,0
1527604197665793058,ARKW,S,500,52.7500
1527604200343941223,ARKW,S,200,54.00
1527604199272681957,ARKW,B,100,53.2500
1527604197308706636,ARKW,S,100,52
1527604199629768379,ARKW,S,400,53.2500
1527604198558509113,ARKW,B,200,52.75
1527604200701027645,ARKW,S,100,55.5
1527604198022879480,ARKW,S,200,52.75
1527604199986854801,ARKW,B,200,54
1527604199094138746,ARKW,B,500,53.25
